lastname,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Gabbard,94022,12200,LOS ALTOS,CA,SANTA CLARA,06,085,37.365558,-122.148494,06085,9940,5438276,547110.2615694165,37
Gabbard,96734,12034.98,KAILUA,HI,HONOLULU,15,003,21.396104,-157.744706,15003,22900,1987639,86796.46288209606,3181
Gabbard,90049,11924.99,LOS ANGELES,CA,LOS ANGELES,06,037,34.086348,-118.48826,06037,18300,6403470,349916.39344262297,117
Gillibrand,10024,77807.66,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Gillibrand,10021,74958.82,NEW YORK,NY,NEW YORK,36,061,40.769831,-73.958514,36061,23530,10564411,448976.2430939227,74
Gillibrand,10011,67350,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Gillibrand,10023,63300,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Gillibrand,10022,61600,NEW YORK,NY,NEW YORK,36,061,40.758346,-73.967997,36061,19840,10038198,505957.56048387097,51
Gillibrand,10128,61375,NEW YORK,NY,NEW YORK,36,061,40.78154,-73.948758,36061,32950,10538542,319834.3550834598,154
Gillibrand,10028,57700,NEW YORK,NY,NEW YORK,36,061,40.776127,-73.952597,36061,25100,9061775,361026.8924302789,108
Gillibrand,10013,53400,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878,36061,14940,6301582,421792.63721552875,84
Gillibrand,11201,46225,BROOKLYN,NY,KINGS,36,047,40.694599,-73.990638,36047,31970,6204145,194061.46387238035,461
Gillibrand,10583,41699.64,SCARSDALE,NY,WESTCHESTER,36,119,40.989434,-73.794574,36119,18730,7816463,417323.1713828083,87
Harris,94118,156925.99,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.782355,-122.460795,06075,21510,4722403,219544.53742445374,353
Harris,94115,142802.64,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.78597,-122.437262,06075,19500,4266982,218819.58974358975,356
Harris,90049,120698.72,LOS ANGELES,CA,LOS ANGELES,06,037,34.086348,-118.48826,06037,18300,6403470,349916.39344262297,117
Harris,90210,115815.78,BEVERLY HILLS,CA,LOS ANGELES,06,037,34.103131,-118.416253,06037,9490,5739663,604811.6965226554,29
Harris,90067,75465.68,LOS ANGELES,CA,LOS ANGELES,06,037,34.05775,-118.4138,06037,3360,2776759,826416.369047619,10
Harris,90272,75322.16,PACIFIC PALISADES,CA,LOS ANGELES,06,037,34.078345,-118.5475,06037,10530,5299176,503245.5840455841,53
Harris,94123,69779.97,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.801844,-122.436531,06075,15430,4461222,289126.5068049255,196
Harris,10023,61629.18,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Harris,91436,61100,ENCINO,CA,LOS ANGELES,06,037,34.153648,-118.497744,06037,9100,4179731,459311.0989010989,69
Harris,90024,60252.52,LOS ANGELES,CA,LOS ANGELES,06,037,34.065677,-118.434088,06037,15130,5438295,359437.87177792465,109
Hickenlooper,80202,96251,DENVER,CO,DENVER,08,031,39.752627,-104.998086,08031,9230,1394446,151077.57313109425,825
Hickenlooper,80209,91451.91,DENVER,CO,DENVER,08,031,39.705644,-104.964853,08031,14190,2577888,181669.3446088795,552
Hickenlooper,80113,90455,ENGLEWOOD,CO,ARAPAHOE,08,005,39.641366,-104.954591,08005,11300,2367128,209480.3539823009,392
