contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
92154,1051.4,0,Sanders,1051.4,SAN DIEGO,CA,SAN DIEGO,06,073,32.567848,-116.990264
98230,1051.18,225,Sanders,826.1800000000001,BLAINE,WA,WHATCOM,53,073,48.930015,-122.686612
21236,1051.1,322,Sanders,729.0999999999999,NOTTINGHAM,MD,BALTIMORE,24,005,39.389278,-76.488265
91764,1051,210,Sanders,841,ONTARIO,CA,SAN BERNARDINO,06,071,34.077968,-117.587449
01776,1050.7,13742.5,Warren,12691.8,SUDBURY,MA,MIDDLESEX,25,017,42.388828,-71.42304
11747,1050,1240.97,Warren,190.97000000000003,MELVILLE,NY,SUFFOLK,36,103,40.785118,-73.404965
46203,1050,806.95,Sanders,243.04999999999995,INDIANAPOLIS,IN,MARION,18,097,39.728498,-86.097844
48302,1050,1267.52,Warren,217.51999999999998,BLOOMFIELD HILLS,MI,OAKLAND,26,125,42.584993,-83.293605
49630,1050,100,Sanders,950,EMPIRE,MI,LEELANAU,26,089,44.815215,-85.989036
76028,1049.8,160,Sanders,889.8,BURLESON,TX,JOHNSON,48,251,32.531012,-97.306059
98008,1049.75,3268.29,Warren,2218.54,BELLEVUE,WA,KING,53,033,47.60563,-122.108288
49601,1049.2,100,Sanders,949.2,CADILLAC,MI,WEXFORD,26,165,44.257048,-85.547916
98365,1048.7,305,Sanders,743.7,PORT LUDLOW,WA,JEFFERSON,53,031,47.903073,-122.699314
84401,1048.2,0,Sanders,1048.2,OGDEN,UT,WEBER,49,057,41.249058,-111.9737
75060,1048.12,279.32,Sanders,768.8,IRVING,TX,DALLAS,48,113,32.796657,-96.950529
14217,1048.1,511.38,Sanders,536.7199999999999,BUFFALO,NY,ERIE,36,029,42.975316,-78.881182
11228,1048.04,130,Sanders,918.04,BROOKLYN,NY,KINGS,36,047,40.616926,-74.012802
25064,1048,0,Sanders,1048,DUNBAR,WV,KANAWHA,54,039,38.378102,-81.748053
28453,1048,0,Sanders,1048,MAGNOLIA,NC,DUPLIN,37,061,34.874702,-78.076328
84005,1045.95,0,Sanders,1045.95,EAGLE MOUNTAIN,UT,UTAH,49,049,40.321532,-112.004986
