county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
CUMBERLAND,37051,1000,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,1376,32358.6,NA,NA,33
CUMBERLAND,42041,250,301,NA,NA,NA,NA,2800,NA,NA,NA,NA,NA,151,25803.2,NA,NA,1
CUMBERLAND,47035,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,250,9975.42,NA,NA,NA
CUMING,31039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.4,NA,NA,NA
CURRITUCK,37053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,1968.63,250,NA,NA
CURRY,35009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3913.78,NA,NA,NA
CURRY,41015,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4013.75,NA,NA,NA
CUSTER,08027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.46,NA,NA,NA
CUSTER,16037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA
CUSTER,30017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.72,NA,NA,NA
CUSTER,31041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760,NA,NA,NA
CUSTER,40039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5736,NA,NA,NA
CUSTER,46033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,1097.8600000000001,NA,NA,NA
CUYAHOGA,39035,5800,7050,1050,250,754.98,NA,3145,500,500,1400,NA,2250,4156.64,185715.94,2390,1500,662
DADE,13083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.5,NA,NA,NA
DADE,29057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA
DAGGETT,49009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.75,NA,NA,NA
DAKOTA,27037,2700,500,NA,NA,NA,NA,455,NA,NA,17412.54,NA,300,1107.99,27390.18,2000,NA,21
DAKOTA,31043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.98,NA,NA,NA
DALE,01045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4299.15,NA,NA,NA
DALLAM,48111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1485.1,NA,NA,NA
DALLAS,01047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975.25,NA,NA,NA
DALLAS,19049,NA,290,NA,2365.81,NA,NA,NA,NA,NA,NA,NA,NA,247,877.38,NA,NA,32
DALLAS,29059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,399,NA,NA,NA
DALLAS,48113,9650,14475,63301.54,500,25959,53862.99,82824.91,1000,3275,37055,NA,386980.11,12699.89,683493.1,12287.22,480.65,2361.88
DANE,55025,715,4375,NA,NA,NA,264,5232.69,NA,250,5056,NA,1430,21517.38,45292.76,7337.65,509.59,1443
DANIELS,30019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.75,NA,NA,NA
DANVILLE CITY,51590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,6023.05,NA,NA,NA
DARE,37055,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6284.07,NA,NA,NA
DARKE,39037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202.38,NA,NA,NA
DARLINGTON,45031,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2373.2599999999998,NA,NA,NA
DAUPHIN,42043,500,350,NA,NA,NA,NA,625,NA,2800,250,NA,300,1397,28825.2,NA,2800,5
DAVIDSON,37057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248.5,NA,NA,NA
DAVIDSON,47037,800,11050,300,NA,500,NA,8959.03,16350,NA,10350,NA,6776.65,5194.62,96981.96,1941.32,2219.36,293
DAVIE,37059,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,6443.42,NA,NA,NA
DAVIESS,18027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,1086.4,NA,NA,NA
DAVIESS,21059,NA,110,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,6150.86,NA,NA,NA
DAVIESS,29061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA
DAVIS,19051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
DAVIS,49011,NA,NA,NA,NA,NA,NA,365.2,NA,NA,1000,NA,250,452,17622.99,NA,NA,20
DAVISON,46035,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.91,NA,NA,NA
DAWES,31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847.37,NA,NA,NA
DAWSON,13085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4014.91,NA,NA,NA
DAWSON,30021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.85,NA,NA,NA
DAWSON,31047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.3,NA,NA,NA
DAWSON,48115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3093.65,NA,NA,NA
DE BACA,35011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991.64,NA,NA,NA
DE KALB,01049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924.37,NA,NA,NA
DE SOTO,22031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6729.62,NA,NA,NA
DE WITT,48123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,NA,995.75,NA,NA,NA
DEAF SMITH,48117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,893.71,NA,NA,NA
DEARBORN,18029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3028.7200000000003,NA,NA,NA
DECATUR,13087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995.89,NA,NA,NA
DECATUR,18031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.33000000000004,NA,NA,NA
DECATUR,19053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA
DECATUR,20039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA
DECATUR,47039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.53,NA,NA,NA
DEER LODGE,30023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA
DEFIANCE,39039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627.87,NA,NA,NA
DEKALB,13089,360,2250,250,1500,2000,NA,13868.71,850,NA,12087,NA,967.67,6204,47271.880000000005,4760.35,NA,323.5
DEKALB,17037,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,374,4060.33,250,NA,15
DEKALB,18033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3117.88,NA,NA,NA
DEKALB,29063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1410,NA,NA,NA
DEKALB,47041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA
DEL NORTE,06015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5452.89,NA,NA,NA
DELAWARE,18035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6032.56,267.61,NA,5
DELAWARE,19055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.99,763.45,NA,NA,NA
DELAWARE,36025,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,204,1693.12,NA,NA,NA
DELAWARE,39041,NA,1250,NA,NA,NA,NA,250,NA,NA,NA,NA,250,1443.59,34984.57,NA,NA,705
DELAWARE,40041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7554.75,NA,NA,NA
DELAWARE,42045,24865,9550,NA,NA,3050,1500,2900,3000,735,9250,NA,4215,2329,65786.8,3420,500,516
DELTA,08029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,3398.05,NA,NA,NA
DELTA,26041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789,1263.71,NA,NA,NA
DENALI,02068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,950,NA,NA,NA
DENT,29065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA
DENTON,48121,400,5650,NA,NA,224.97,NA,5650,NA,NA,2355,NA,39915.29,1538.1399999999999,161603.91,NA,NA,21
DENVER,08031,9900,8190,800,1000,NA,18000,8912.18,530395.13,4070.2,21247.34,NA,20621.79,13795.32,57953.67,6135,6160.46,7819.38
DES MOINES,19057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947,NA,NA,NA
DESCHUTES,41017,NA,250,NA,NA,1000,NA,334.11,NA,1000,4800,NA,1000,1653,27740.93,1126.82,1500,35
DESHA,05041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.5,NA,NA,NA
DESOTO,12027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3374.76,NA,NA,NA
DESOTO,28033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.4,104,14062.78,NA,NA,10
DEWEY,40043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.75,NA,NA,NA
DEWEY,46041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,NA,NA,NA
DEWITT,17039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2154.51,NA,NA,NA
DICKENSON,51051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA
DICKEY,38021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253.71,NA,NA,NA
DICKINSON,19059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770.24,NA,NA,NA
DICKINSON,20041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,704.01,NA,NA,NA
DICKINSON,26043,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.5,NA,NA,NA
DICKSON,47043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5005.27,NA,NA,NA
DILLINGHAM,02070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.97,NA,NA,NA
DILLON,45033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
DIMMIT,48127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028,NA,NA,NA
DINWIDDIE,51053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329.6100000000001,NA,NA,NA
DISTRICT OF COLUMBIA,11001,36262.22,115398,17944.44,355829.55,3250,95292.3,272576.27,28671.28,48450,67494.88,NA,59480.6,31537.38,81919.02,26010.100000000002,1575,3060
DIVIDE,38023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649.25,NA,NA,NA
DIXIE,12029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1291.75,NA,NA,NA
DODDRIDGE,54017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
DODGE,13091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.27,NA,NA,NA
DODGE,27039,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,NA,396.86,NA,NA,NA
DODGE,31053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4711.2,NA,NA,NA
DODGE,55027,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,85,1891.8,NA,NA,20
DOLORES,08033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.75,NA,NA,NA
DONA ANA,35013,125,NA,250,NA,NA,NA,NA,NA,NA,250,NA,5287.19,227,17908.47,3960,NA,25
DONLEY,48129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.15,NA,NA,NA
DOOLY,13093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA
DOOR,55029,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,250,3268.28,NA,NA,NA
DORADO,72051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.5,NA,NA,NA
DORCHESTER,24019,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2828.75,NA,NA,NA
DORCHESTER,45035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,13355.82,NA,NA,NA
DOUGHERTY,13095,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,12671.130000000001,NA,NA,NA
DOUGLAS,08035,NA,1250,NA,2700,NA,2250,1150,19375,250,NA,NA,1000,3199.75,48309.74,1246.61,500,1001
DOUGLAS,13097,NA,NA,NA,NA,1000,NA,250,NA,NA,NA,NA,NA,353,10409.64,NA,NA,NA
DOUGLAS,17041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,NA,NA,20
DOUGLAS,20045,NA,635,NA,NA,NA,NA,785,NA,NA,NA,NA,753.7,2041,7694.01,250,NA,10
DOUGLAS,27041,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,52,3876.5,NA,NA,NA
DOUGLAS,29067,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,1083.5,NA,NA,NA
DOUGLAS,31055,NA,750,NA,250,500,NA,311.84000000000003,NA,NA,475,NA,1000,6309.4,66608.27,228,950,291
DOUGLAS,32005,255,125,NA,NA,NA,NA,1300,NA,NA,250,NA,400,250,27060.92,NA,NA,5
DOUGLAS,41019,NA,NA,NA,NA,NA,NA,5710,NA,NA,NA,NA,NA,1089,10879.11,NA,NA,NA
DOUGLAS,46043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.72,NA,NA,NA
DOUGLAS,53017,NA,NA,NA,NA,NA,NA,NA,NA,1554.1599999999999,NA,NA,NA,293,2004.93,NA,NA,NA
DOUGLAS,55031,NA,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,3381.21,NA,NA,NA
DREW,05043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2120.65,NA,NA,NA
DUBOIS,18037,2700,250,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,11387.4,NA,250,NA
DUBUQUE,19061,NA,1500,NA,NA,225,NA,NA,NA,NA,NA,NA,1000,502.86,7706.67,250,NA,NA
DUCHESNE,49013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,NA,NA
DUKES,25007,125,1600,2700,NA,250,2800,522.8299999999999,NA,NA,2000,NA,280,1000,4730.29,2850,NA,60
DUNDY,31057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818.5,NA,NA,NA
DUNKLIN,29069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741.5,NA,NA,NA
DUNN,38025,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,438.75,NA,NA,NA
DUNN,55033,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,441.62,NA,NA,NA
DUPAGE,17043,NA,22000,NA,NA,17652,3882,3924.5,800,10600,11951.74,NA,3063.4,5315,140089.73,2700,1033.75,2413
DUPLIN,37061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,3067.21,NA,NA,NA
DURHAM,37063,425,2000,500,NA,NA,600,4574.4,NA,NA,2000,NA,1737.94,4432,17028.16,3100.9700000000003,1000,128.34
DUTCHESS,36027,3606.95,2250,NA,NA,229.99,16900,2300,NA,1260,6400,NA,1585.2,6601,39971.82,2530,4350,50
DUVAL,12031,NA,250,NA,NA,1050,NA,744.09,500,NA,500,NA,920,7210,163083.95,630.2,700,255
DYER,47045,NA,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,NA,792,NA,NA,NA
EAGLE,08037,5600,NA,2800,NA,500,6350,1000,25550,2800,NA,NA,2800,500,20451.88,NA,NA,NA
EARLY,13099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.7,NA,NA,NA
EAST BATON ROUGE,22033,NA,278,NA,NA,NA,NA,2050,NA,NA,NA,NA,500,637,54991.07,560,NA,50
EAST CARROLL,22035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA
EAST FELICIANA,22037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993.0900000000001,NA,NA,NA
EASTLAND,48133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,NA,2527.2,NA,NA,NA
EATON,26045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,5140.26,NA,NA,NA
EAU CLAIRE,55035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,239.04000000000002,3863.55,NA,NA,NA
ECTOR,48135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415,250,79434.79000000001,NA,NA,NA
EDDY,35015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11730.33,NA,NA,NA
EDDY,38027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA
EDGAR,17045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,NA,NA,NA
EDGECOMBE,37065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA
EDGEFIELD,45037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4860.8,NA,NA,NA
EFFINGHAM,13103,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3705.08,NA,NA,NA
EFFINGHAM,17049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6848.98,NA,NA,NA
EL DORADO,06017,NA,550,NA,NA,3350,NA,2800,NA,NA,NA,NA,831.79,911,50531.94,550,NA,1
EL PASO,08041,NA,1000,NA,NA,1210,NA,811,35750,250,1700,NA,1517.8,4757,77384.34,800,1644.15,297
EL PASO,48141,NA,750,NA,NA,233.95,NA,175,1000,NA,NA,NA,282875.46,2662.17,76931.16,NA,NA,20
ELBERT,08039,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,224,5680.540000000001,NA,NA,NA
ELBERT,13105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.59,NA,NA,NA
ELK,42047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,1355.51,NA,NA,NA
ELKHART,18039,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.9,31036.92,560,NA,NA
ELKO,32007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12313.52,NA,NA,NA
ELLIS,20051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2310.15,NA,NA,NA
ELLIS,40045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678.75,NA,NA,NA
ELLIS,48139,NA,NA,500,NA,NA,NA,955.23,NA,NA,725,NA,2428.55,NA,20554.66,NA,NA,NA
ELLSWORTH,20053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124.94,NA,NA,NA
ELMORE,01051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5949.96,NA,NA,NA
ELMORE,16039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550.47,NA,NA,NA
EMANUEL,13107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257.1599999999999,NA,NA,NA
EMERY,49015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA
EMMET,19063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627.5,NA,NA,NA
EMMET,26047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,877,4486.12,NA,NA,NA
EMMONS,38029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.5,NA,NA,NA
EMPORIA CITY,51595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA
ERATH,48143,NA,NA,NA,NA,NA,NA,574.42,NA,NA,NA,NA,388.55,NA,3968.2599999999998,NA,NA,NA
ERIE,36029,1500,250,NA,8000,259.98,3700,500,2800,NA,250,NA,862.8,4759.99,55827.13,2024.33,1900,1394
ERIE,39043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,6232.41,500,NA,NA
ERIE,42049,NA,250,NA,NA,NA,NA,250,NA,NA,NA,NA,99.8,3340.5,16395.74,NA,NA,NA
ESCAMBIA,01053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1192.6399999999999,NA,NA,NA
ESCAMBIA,12033,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,500,1835.94,51575.17,275,600,2628
ESSEX,25009,6250,1825,NA,NA,9309.92,6121.95,6818.89,500,NA,1360,NA,5299.19,8998,69580.53,27926.38,9354.9,257
ESSEX,34013,265685.54,8605,247.15,8400,250,14558.5,23542.26,2000,NA,32950,NA,5291.35,10650.03,59922.88,8300,NA,9193
ESSEX,36031,NA,250,NA,NA,NA,275,200,NA,NA,250,NA,NA,2033,4002.68,950,NA,NA
ESSEX,50009,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,250,362.48,NA,NA,NA
ESSEX,51057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
ESTILL,21065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.5,NA,NA,NA
ETOWAH,01055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9144.65,NA,NA,NA
EUREKA,32011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,1477.5,NA,NA,NA
EVANGELINE,22039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.53,NA,NA,NA
EVANS,13109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,176.92000000000002,NA,NA,NA
FAIRBANKS NORTH STAR,02090,NA,NA,NA,NA,750,NA,850,NA,NA,NA,NA,NA,577,15342.68,NA,NA,1
FAIRFAX,51059,2789,13220,935,56892.4,4735,13550,36250.92,NA,725,24147.15,NA,25599.54,21141.27,225875.83,10333.49,5900,7424.72
FAIRFAX CITY,51600,NA,NA,NA,5400,NA,1000,350,NA,NA,NA,NA,NA,254,11813.949999999999,250,NA,520
FAIRFIELD,09001,66640,18075,NA,35950,NA,41931.95,65688.55,13007.5,1995.2,14312.94,NA,31271.41,8864.13,187787.11000000002,2050,5746.53,29396.05
FAIRFIELD,39045,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9183.87,400,NA,NA
FAIRFIELD,45039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.83,NA,1164.03,NA,NA,NA
FALL RIVER,46047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,553.3,NA,NA,NA
FALLON,30025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA
FALLS,48145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724.9,NA,NA,NA
FALLS CHURCH CITY,51610,20850,750,NA,NA,NA,NA,NA,5000,NA,500,NA,265,NA,3880.42,750,NA,250
FANNIN,13111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,3876.51,NA,NA,NA
FANNIN,48147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,2647.65,NA,NA,NA
FARIBAULT,27043,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,529.5,NA,NA,NA
FAULKNER,05045,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,241,4330.5199999999995,248.53,NA,NA
FAUQUIER,51061,NA,1000,NA,3200,NA,NA,2030,NA,NA,500,NA,500,406,13751.9,1000,NA,NA
FAYETTE,01057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.25,NA,NA,NA
FAYETTE,13113,250,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,109,24828.379999999997,3310,NA,250
FAYETTE,17051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024.25,NA,NA,NA
FAYETTE,18041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253.67,NA,NA,NA
FAYETTE,19065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,1
FAYETTE,21067,NA,3073,NA,NA,250,360,534.11,250,NA,3000,NA,860,4789,41729.18,250,NA,26
FAYETTE,39047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724.75,NA,NA,NA
FAYETTE,42051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6762.15,NA,NA,NA
FAYETTE,47047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722.75,NA,2800,NA
FAYETTE,48149,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,7538.39,NA,NA,NA
FAYETTE,54019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,2872.22,NA,NA,NA
FENTRESS,47049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.79000000000002,NA,NA,NA
FERGUS,30027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5902.5,NA,NA,NA
FERRY,53019,NA,NA,NA,NA,2700,NA,NA,NA,338,NA,NA,NA,NA,57.94,NA,NA,NA
FILLMORE,27045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,50,614.5,NA,NA,NA
FILLMORE,31059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.61,NA,NA,NA
