county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
ALPENA,26007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,2125.25,NA,NA,NA
AMADOR,06005,NA,250,NA,NA,NA,NA,300,NA,2000,NA,NA,NA,1143.8600000000001,16460.46,460,NA,1
AMELIA,51007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668.15,NA,NA,NA
AMERICAN SAMOA,60050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.95999999999998,NA,NA,NA
AMHERST,51009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1338.6100000000001,NA,NA,NA
AMITE,28005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.75,NA,NA,NA
ANCHORAGE,02020,500,530,NA,NA,NA,NA,945.0899999999999,1462,221,350,NA,1500,5288,60756.39,451.7,NA,92
ANDERSON,20003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,NA,NA,NA
ANDERSON,21005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803.5,NA,NA,NA
ANDERSON,45007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14949.130000000001,NA,NA,NA
ANDERSON,47001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5211.6,NA,NA,100
ANDERSON,48001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5330.87,NA,NA,NA
ANDREW,29003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.5,NA,NA,NA
ANDREWS,48003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2651.15,NA,NA,NA
ANDROSCOGGIN,23001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,6108.88,NA,NA,NA
ANGELINA,48005,NA,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,1268.99,NA,10772.1,200.73,NA,NA
ANNE ARUNDEL,24003,250,4600,1250,6099,NA,250,5550,2800,1250,4100,NA,1782.4,1780,94157.99,2480,400,322
ANOKA,27003,NA,NA,NA,NA,250,NA,500,NA,NA,25030,NA,219.59,719,16836.23,NA,NA,58
ANSON,37007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,NA,NA,NA
ANTELOPE,31003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175.37,NA,NA,NA
ANTRIM,26009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3295.59,NA,NA,NA
APACHE,04001,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,7099.32,NA,NA,NA
APPANOOSE,19007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,NA,NA,NA
APPLING,13001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,NA,NA,NA
APPOMATTOX,51011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.70999999999998,NA,NA,NA
ARANSAS,48007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025,NA,1625,NA,6660.36,NA,NA,NA
ARAPAHOE,08005,NA,375,NA,NA,NA,8700,3266.49,202582.51,NA,3050,NA,13890,3489.14,100731.09,1592.99,NA,275
ARCHER,48009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,375,NA,NA,NA
ARCHULETA,08007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.99,NA,1751.9,NA,NA,NA
ARECIBO,72013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806.24,NA,NA,NA
ARENAC,26011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117,NA,NA,NA
ARKANSAS,05001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,NA,NA,NA
ARLINGTON,51013,1520,10810,7600,14330,1350,4020,24041.44,3050,2100,4065,NA,6579.99,4125.99,35337.09,3095.28,780.77,277
ARMSTRONG,42005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,4318.14,NA,NA,NA
ARMSTRONG,48011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA
AROOSTOOK,23003,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,2609.5299999999997,NA,NA,NA
ASCENSION,22005,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,270.18,6679.07,NA,NA,3
ASHE,37009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,3840.6800000000003,NA,NA,NA
ASHLAND,39005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2213.5299999999997,NA,NA,NA
ASHLAND,55003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,675.01,NA,NA,NA
ASHLEY,05003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4922.5,NA,NA,NA
ASHTABULA,39007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,5247.32,NA,NA,NA
ASOTIN,53003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.59,2089.4,NA,NA,NA
ASSUMPTION,22007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA
ATASCOSA,48013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,2769.69,NA,NA,NA
ATCHISON,20005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,1025.61,NA,NA,NA
ATCHISON,29005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA
ATHENS,39009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301.8,NA,NA,NA
ATKINSON,13003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,NA,NA,NA
ATLANTIC,34001,12045.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,15026.39,NA,NA,NA
ATOKA,40005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.5,NA,NA,NA
ATTALA,28007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829.5699999999999,NA,NA,NA
AUDRAIN,29007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,349,NA,NA,NA
AUDUBON,19009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2359.2799999999997,NA,NA,NA
AUGLAIZE,39011,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8286.18,NA,NA,NA
AUGUSTA,51015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5196.06,NA,NA,NA
AURORA,46003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.75,NA,NA,NA
AUSTIN,48015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,7857.65,319,NA,NA
AUTAUGA,01001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082.25,NA,NA,NA
AVERY,37011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7650.35,NA,NA,NA
AVOYELLES,22009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2995,NA,NA,10
BACON,13005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5888.75,NA,NA,NA
