zipcode,city,state,state_fips,latitude,longitude,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Ryan,Sanders,Trump,Warren,Williamson,Yang,county,county_fips
95338,MARIPOSA,CA,06,37.510832,-119.980478,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,1881.25,NA,NA,NA,MARIPOSA,043
95340,MERCED,CA,06,37.375415,-120.380194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862.03,319.63,NA,NA,MERCED,047
95344,MERCED,CA,06,37.3022,-120.4816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,MERCED,047
95345,MIDPINES,CA,06,37.586344,-119.982788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,MARIPOSA,043
95346,MI WUK VILLAGE,CA,06,38.028865,-120.149404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.44,NA,NA,NA,TUOLUMNE,109
95348,MERCED,CA,06,37.364502,-120.521614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1093.26,NA,NA,NA,MERCED,047
95350,MODESTO,CA,06,37.667655,-121.014765,NA,NA,NA,NA,NA,NA,515,NA,NA,NA,NA,NA,3800,77,3271.3,225,NA,NA,STANISLAUS,099
95351,MODESTO,CA,06,37.634944,-120.984909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1527.5,NA,NA,NA,STANISLAUS,099
95352,MODESTO,CA,06,37.6395,-120.9956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.25,NA,NA,NA,STANISLAUS,099
95353,MODESTO,CA,06,37.6395,-120.9956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.94,NA,NA,NA,STANISLAUS,099
95354,MODESTO,CA,06,37.637378,-120.970083,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.11,NA,NA,NA,STANISLAUS,099
95355,MODESTO,CA,06,37.672154,-120.943096,NA,NA,NA,NA,NA,NA,332.73,NA,NA,NA,NA,NA,NA,270,6798.47,NA,NA,NA,STANISLAUS,099
95356,MODESTO,CA,06,37.721914,-121.04368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,9869.19,NA,NA,NA,STANISLAUS,099
95357,MODESTO,CA,06,37.674075,-120.892979,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,250,1197,250,NA,NA,STANISLAUS,099
95358,MODESTO,CA,06,37.611695,-121.108803,NA,NA,NA,NA,NA,NA,2800,NA,NA,NA,NA,NA,NA,NA,1089.95,NA,NA,NA,STANISLAUS,099
95360,NEWMAN,CA,06,37.280938,-121.211508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,STANISLAUS,099
95361,OAKDALE,CA,06,37.777081,-120.760866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,8633.72,NA,NA,NA,STANISLAUS,099
95363,PATTERSON,CA,06,37.509275,-121.250104,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1767.6299999999999,NA,NA,NA,STANISLAUS,099
95364,PINECREST,CA,06,38.343472,-119.918361,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TUOLUMNE,109
95366,RIPON,CA,06,37.75729,-121.121905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.6100000000001,NA,NA,NA,SAN JOAQUIN,077
95367,RIVERBANK,CA,06,37.732714,-120.947489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,939.33,NA,NA,NA,STANISLAUS,099
95368,SALIDA,CA,06,37.71665,-121.089633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1062.5,NA,NA,NA,STANISLAUS,099
95369,SNELLING,CA,06,37.534812,-120.412067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3912.95,NA,NA,NA,MERCED,047
95370,SONORA,CA,06,37.98387,-120.389676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,5147.12,NA,NA,NA,TUOLUMNE,109
95372,SOULSBYVILLE,CA,06,37.995986,-120.260239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,TUOLUMNE,109
95374,STEVINSON,CA,06,37.330485,-120.890864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,MERCED,047
95376,TRACY,CA,06,37.653296,-121.459717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.2,2294.97,NA,NA,NA,SAN JOAQUIN,077
95377,TRACY,CA,06,37.617928,-121.46118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,2662.75,NA,NA,NA,SAN JOAQUIN,077
95378,TRACY,CA,06,37.7398,-121.4243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.62,NA,NA,NA,SAN JOAQUIN,077
95380,TURLOCK,CA,06,37.477871,-120.860749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6680.25,NA,NA,10,STANISLAUS,099
95381,TURLOCK,CA,06,37.4948,-120.8459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.4,NA,NA,NA,STANISLAUS,099
95382,TURLOCK,CA,06,37.527435,-120.843844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,3559.09,NA,NA,NA,STANISLAUS,099
95383,TWAIN HARTE,CA,06,38.048368,-120.208711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,TUOLUMNE,109
95385,VERNALIS,CA,06,37.63,-121.249776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,NA,SAN JOAQUIN,077
95386,WATERFORD,CA,06,37.688133,-120.65647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044,NA,NA,NA,STANISLAUS,099
95388,WINTON,CA,06,37.429506,-120.553673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375,NA,NA,NA,MERCED,047
95391,TRACY,CA,06,37.759412,-121.59902,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,129,968.39,NA,NA,NA,SAN JOAQUIN,077
95401,SANTA ROSA,CA,06,38.453382,-122.781362,NA,NA,NA,NA,NA,NA,3161.73,NA,NA,NA,NA,NA,NA,57,3564.65,316.7,NA,NA,SONOMA,097
95402,SANTA ROSA,CA,06,38.4408,-122.7156,NA,NA,NA,NA,NA,NA,450.83,NA,NA,NA,NA,NA,NA,353,208.19,NA,NA,NA,SONOMA,097
95403,SANTA ROSA,CA,06,38.502811,-122.753536,NA,50,NA,NA,NA,1250,787.35,NA,NA,NA,NA,NA,NA,290,7676.46,210,NA,NA,SONOMA,097
95404,SANTA ROSA,CA,06,38.452546,-122.640334,NA,100,NA,NA,NA,2300,750,NA,250,0,NA,NA,NA,4042,2981.67,855,NA,2,SONOMA,097
95405,SANTA ROSA,CA,06,38.438724,-122.674988,NA,250,NA,NA,NA,750,1254.1100000000001,NA,250,NA,NA,NA,NA,686,770.77,NA,NA,NA,SONOMA,097
95406,SANTA ROSA,CA,06,38.4408,-122.7136,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,211,76.33,NA,NA,NA,SONOMA,097
95407,SANTA ROSA,CA,06,38.391664,-122.751124,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,1787.8,589.6,310,NA,5,SONOMA,097
95409,SANTA ROSA,CA,06,38.45884,-122.606721,NA,250,NA,NA,NA,NA,1211.73,NA,NA,1289.7,NA,465,NA,500,2825.61,1000,NA,NA,SONOMA,097
95415,BOONVILLE,CA,06,39.015094,-123.384212,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MENDOCINO,045
95422,CLEARLAKE,CA,06,38.9726,-122.540517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.31,NA,NA,NA,LAKE,033
95423,CLEARLAKE OAKS,CA,06,39.136454,-122.6329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3075,NA,NA,NA,LAKE,033
95424,CLEARLAKE PARK,CA,06,38.970393,-122.665566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,LAKE,033
95425,CLOVERDALE,CA,06,38.778786,-123.04363,NA,1000,NA,NA,275,NA,300,NA,NA,NA,NA,275,NA,NA,1262.19,NA,NA,NA,SONOMA,097
