contributor_zip5,Biden,Buttigieg,Harris,Sanders,Warren
01611,,,,,1100
01612,355.82,,,229.4,
01613,,,,552,
01701,6946,2416.51,2010.6,8567.85,5208.3
01702,777,200,,2091.22,3876.8
01718,,275,,108,
01719,177,,135,275,1015
01720,2250,1552.32,2443.21,4030.8,10543.32
01721,1329,50,,487,1139.66
01730,689.33,850,1125,2978,9213
01740,,50,100,493.6,1511.42
01741,1250,1513,1660,3495.5,10835.58
01742,17868.33,45168.65,6189.11,19328.22,38279.36
01745,,250,,,
01746,,136,352.7,2026.94,797.42
01747,,305,150,39,500
01748,300,3200,,735.84,7572.66
01749,2800,625,300,1808.62,2229.5
01752,610,2625,132.55,2026.65,1504.39
01754,565,1800,,1541.25,1781.82
01756,1000,603,,193.7,2042.42
01757,3380,1708.52,,1654,2080.62
01760,2919,4784.59,1388.45,6603.9,6665.48
01770,1400,1675,5980,1041,2928.82
01772,2300,4553,1191.89,554,1772
01773,5625,4986.18,5325,3052,12283.92
01775,50,525,150,27,3454.21
01776,12175,3700,5700,1790.7,21357.5
01778,41770,10504.16,3338.54,2259.14,18196.2
01784,1400,,,,
01801,525,4003.56,921.23,2655.63,4292.02
01803,5844,850,,3587.4,2990.79
01805,,,,108,
01810,6592.66,5712.39,6970,4968,16813.91
01821,,100,,4327.88,990
01824,1493.33,300,862.5,1559,702.58
01826,,50,,1568.44,1653
01827,100,,,362.3,92.16
01830,2800,,350,1829.43,910
01832,,51.94,500,3752.68,590
01833,,,975,3575.18,2606.43
01834,,25,185.28,162,3664.85
01835,250,300,-200,304.31,568.9
01840,,,,27,
01841,137,,,988.6,100
01843,,,,,150
01844,475,,,1256,683
01845,1250,1110,2750,841.64,2570.66
01850,,,,360.94,144.84
01851,,385.05,,789.7,1256.9
01852,25,300,325,2100.34,2509.13
01854,,,,3760.2,350
01860,,25,,304,500
01862,,,,914,524.58
01863,250,,,1085,2389.58
01864,5600,,942,1628.7,3959.42
01867,6132.05,1175,560,3178.4,2406.87
01876,2800,435.95,721.96,1143.4,2973.84
01879,,,,427,105
01880,2950,2284.38,100,3162,4370.66
01886,1000,1070.2,806,3676.9,5450.49
01887,3800,250,242.66,1606.17,325
01890,10164,15965,7396,2150.6,20928.73
01902,296,1700,163,2041.26,3049.42
01904,,30,,324.7,200
01905,,,,757.58,
01906,75,,,505.94,472.61
01907,6229,600,1500,1093,7084.59
01908,400,750,735.79,400,2164.66
01913,450,625,325,725.88,2356.16
01915,9650,2935,970,3694.1,4659.86
01921,150,,,300,3548.3
01922,500,110,,37,848
01923,500,795,1260,826.15,2673.9
01929,,2225,440,851,2931
01930,3209,5835,1564.71,2458.48,10624.95
01931,,,,,1000
01936,500,,250,,308
01938,,1755,172,1195.98,13113.5
01940,1000,228.55,1000,200,1034.41
01944,19417,7935.5,605,1178.25,4072.47
01945,3851,7249.1,1936,2449.1,8246.35
01949,,,,654,60
01950,3665,4839.33,805,3340.98,5564.08
01951,,2436.5,1302,227,3591.92
01952,,,,504.19,441
01960,599,1500,3699.09,1172,2638.18
01965,,1840.2,2800,,3357.5
01966,1550,3125,2747,3862,5366.53
01969,,135,,250,
